Term ID,proposed term's name,PubChem AID,existing BAO class for proposed (super) class,BAO parent ID,proposed super class for proposed term (optional),definition,hyperlinks,Class Type,Date from CDD
http://www.bioassayontology.org/bao#BAO_0150069,Agilent 1100 series LC-MSD SL,602415,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,A mass spectrometer,,subclass,6/30/16
http://www.bioassayontology.org/bao#BAO_0150070,VE-2 whole-cell patch clamp amplifier (Alembic Instruments),2692,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,,,subclass,7/4/16
http://www.bioassayontology.org/bao#BAO_0150071,micro-Quant Plate Reader (BioTek),624061,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,A microplate spectrophotometer,,subclass,7/10/16
http://www.bioassayontology.org/bao#BAO_0150072,SpectraMax Gemini XS microplate fluorometer (Molecular Devices),651896,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,,,subclass,7/11/16
http://www.bioassayontology.org/bao#BAO_0150073,Typhoon FLA 9000 laser scanner (GE Healthcare),602172,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,,,subclass,7/1/16
http://www.bioassayontology.org/bao#BAO_0150074,Fluoroskan Ascent FL Microplate Fluorometer and Luminometer (ThermoFisher),720723,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,,,subclass,7/12/16
http://www.bioassayontology.org/bao#BAO_0150075,"iMIC platform/ Polychrome V imaging system, (TILL Photonics/ FEI Munic GmbH)",2719,imaging cytometer,http://www.bioassayontology.org/bao#BAO_0002937,,,,subclass,7/4/16
http://www.bioassayontology.org/bao#BAO_0150076,Infinte M200 plate reader (Tecan),602457,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,,,subclass,7/2/16
http://www.bioassayontology.org/bao#BAO_0150077,Multiskan EX plate reader (Thermo Scientific),720722,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,,,subclass,7/12/16
http://www.bioassayontology.org/bao#BAO_0150078,Wallac 1420 (Victor2) Microplate reader (PerkinElmer),1061,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,,,subclass,7/18/16
http://www.bioassayontology.org/bao#BAO_0150079,SpectraFluor Plus Microplate Reader (Tecan),1745,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,,,subclass,7/20/16
http://www.bioassayontology.org/bao#BAO_0150080,TSQ Quantum Triple Quadrupole LC-MS (Thermo Scientific),602143,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,,,subclass,7/8/16
http://www.bioassayontology.org/bao#BAO_0150081,Typhoon Trio variable-mode imager (Amersham/ GE LifeSciences),623937,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,"A laser-based scanner that produces digital images of radioactive, fluorescent, or chemiluminescent samples",,subclass,7/19/16
http://www.bioassayontology.org/bao#BAO_0150082,IN Cell Analyzer 1000,456,imaging cytometer,http://www.bioassayontology.org/bao#BAO_0002937,,,https://www.gelifesciences.com/gehcls_images/GELS/Related%20Content/Files/1314742967685/litdoc28402704_20110831020220.pdf,subclass,7/15/16
http://www.bioassayontology.org/bao#BAO_0150083,xCELLigence RTCA DP cellular impedance instrument (Acea Biosciences),602291,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,"The xCELLigence RTCA DP instrument uses noninvasive electrical impedance monitoring to quantify cell proliferation, morphology change, and attachment quality in a label-free, real-time manner. ",http://www.aceabio.com/product/rtca-dp/,subclass,7/22/16
http://www.bioassayontology.org/bao#BAO_0150084,BD FACSAria flow cytometer (BD Biosciences),720665,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,,,subclass,9/30/16
http://www.bioassayontology.org/bao#BAO_0150085,Biacore 3000 SPR System (GE Healthcare),651876,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,One of several models of surface plasmon resonance (SPR) instruments.,,subclass,9/30/16
http://www.bioassayontology.org/bao#BAO_0150086,ChemiDoc XRS Imaging System (BioRad),652251,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,"Imaging system based on CCD high-resolution detection, supports multiple detection methods including fluorescence, colorimetry, densitometry, chemiluminescence, and chemifluorescence.",,subclass,9/30/16
http://www.bioassayontology.org/bao#BAO_0150087,FACScalibur flow cytometer (BD Biosciences),720663,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,,,subclass,9/30/16
http://www.bioassayontology.org/bao#BAO_0150088,FLUOstar Omega microplate reader (BMG Labtech),623961,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,,,subclass,9/30/16
http://www.bioassayontology.org/bao#BAO_0150089,Pico patch clamp amplifier (Tecella),623974,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,,,subclass,9/30/16
http://www.bioassayontology.org/bao#BAO_0150090,Storm PhosphorImager (Molecular Dynamics/ GE),2704,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,"An imaging system for blots, gels, etc, to replace use of film; can be used for autoradiography, fluorescence, and chemifluorescence imaging.",,subclass,9/30/16
http://www.bioassayontology.org/bao#BAO_0150091,Varioskan LUX multimode microplate reader (ThermoFisher),623970,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,,,subclass,9/30/16
